date,description,amount,balance
2026-03-01,SALARY CREDIT,4500.00,5000.00
2026-03-01 22:30,GRAB FOOD - NASI LEMAK,-18.50,4981.50
2026-03-01 23:15,GRAB FOOD - BUBBLE TEA,-12.00,4969.50
2026-03-02 00:10,GRAB FOOD - MEE GORENG,-15.00,4954.50
2026-03-02 12:30,GRAB FOOD - NASI AYAM,-14.00,4940.50
2026-03-02 22:45,GRAB FOOD - PIZZA HUT,-48.00,4892.50
2026-03-03 01:20,GRAB FOOD - MCDONALD,-32.00,4860.50
2026-03-03 11:00,GRAB FOOD - KFC,-28.00,4832.50
2026-03-03 22:00,GRAB FOOD - DOMINO,-55.00,4777.50
2026-03-04 00:30,SHOPEE PURCHASE,-320.00,4457.50
2026-03-04 13:00,GRAB FOOD - SUSHI,-42.00,4415.50
2026-03-04 23:00,GRAB FOOD - NASI KANDAR,-16.00,4399.50
2026-03-05 02:15,GRAB FOOD - ROJAK,-10.00,4389.50
2026-03-05 12:00,UNIFI BILL PAYMENT,-159.00,4230.50
2026-03-05 22:30,GRAB FOOD - WESTERN FOOD,-38.00,4192.50
2026-03-06 00:45,GRAB FOOD - SATAY,-22.00,4170.50
2026-03-06 13:00,GRAB FOOD - LAKSA,-15.00,4155.50
2026-03-06 23:30,GRAB FOOD - ROTI CANAI,-8.50,4147.00
2026-03-07 01:00,SHOPEE PURCHASE,-450.00,3697.00
2026-03-07 12:30,GRAB FOOD - CHAR KUEY TEOW,-16.00,3681.00
2026-03-07 22:15,GRAB FOOD - AYAM PENYET,-18.00,3663.00
2026-03-08 00:30,GRAB FOOD - CENDOL,-8.00,3655.00
2026-03-08 11:00,GRAB FOOD - NASI LEMAK,-18.50,3636.50
2026-03-08 23:00,GRAB FOOD - MEE REBUS,-13.00,3623.50
2026-03-09 01:30,SHOPEE PURCHASE,-580.00,3043.50
2026-03-09 13:00,GRAB FOOD - SOTO AYAM,-14.00,3029.50
2026-03-09 22:00,GRAB FOOD - ROTI JOHN,-12.00,3017.50
2026-03-10 00:15,GRAB FOOD - BURGER KING,-35.00,2982.50
2026-03-10 12:00,TNB ELECTRIC BILL,-120.00,2862.50
2026-03-10 22:45,GRAB FOOD - THAI FOOD,-42.00,2820.50
2026-03-11 01:00,GRAB FOOD - NASI GORENG,-15.00,2805.50
2026-03-11 11:30,GRAB FOOD - KOPITIAM,-18.00,2787.50
2026-03-11 23:15,GRAB FOOD - MAMAK,-12.00,2775.50
2026-03-12 00:30,LAZADA PURCHASE,-390.00,2385.50
2026-03-12 12:00,GRAB FOOD - MCDONALD,-28.00,2357.50
2026-03-12 22:00,GRAB FOOD - KFC,-32.00,2325.50
2026-03-13 01:45,GRAB FOOD - PIZZA,-48.00,2277.50
2026-03-13 13:00,GRAB FOOD - NASI LEMAK,-18.50,2259.00
2026-03-13 23:30,SHOPEE PURCHASE,-420.00,1839.00
2026-03-14 00:15,GRAB FOOD - SUSHI,-55.00,1784.00
2026-03-14 12:00,MAXIS PHONE BILL,-89.00,1695.00
2026-03-14 22:30,GRAB FOOD - WESTERN,-38.00,1657.00
2026-03-15 01:00,GRAB FOOD - AYAM PENYET,-18.00,1639.00
2026-03-15 12:30,GRAB FOOD - LAKSA,-15.00,1624.00
2026-03-15 23:00,GRAB FOOD - SATAY,-22.00,1602.00
2026-03-16 00:30,SHOPEE PURCHASE,-350.00,1252.00
2026-03-16 12:00,GRAB FOOD - NASI KANDAR,-16.00,1236.00
2026-03-16 22:45,GRAB FOOD - ROTI CANAI,-8.50,1227.50
2026-03-17 01:15,GRAB FOOD - CENDOL,-8.00,1219.50
2026-03-17 13:00,NETFLIX SUBSCRIPTION,-54.90,1164.60
2026-03-17 23:00,GRAB FOOD - DOMINO,-55.00,1109.60
2026-03-18 00:30,GRAB FOOD - BUBBLE TEA,-12.00,1097.60
2026-03-18 12:00,GRAB FOOD - NASI GORENG,-15.00,1082.60
2026-03-18 22:00,SHOPEE PURCHASE,-280.00,802.60
2026-03-19 01:00,GRAB FOOD - MEE GORENG,-15.00,787.60
2026-03-19 12:30,GRAB FOOD - CHAR KUEY TEOW,-16.00,771.60
2026-03-19 23:15,GRAB FOOD - SOTO AYAM,-14.00,757.60
2026-03-20 00:45,GRAB FOOD - ROJAK,-10.00,747.60
2026-03-20 12:00,PETRONAS FUEL,-90.00,657.60
2026-03-20 22:30,GRAB FOOD - MCDONALD,-32.00,625.60
2026-03-21 01:30,LAZADA PURCHASE,-310.00,315.60
2026-03-21 13:00,GRAB FOOD - KFC,-28.00,287.60
2026-03-21 23:00,GRAB FOOD - PIZZA HUT,-48.00,239.60
2026-03-22 00:15,GRAB FOOD - NASI LEMAK,-18.50,221.10
2026-03-22 12:00,GRAB FOOD - SUSHI,-42.00,179.10
2026-03-22 22:45,GRAB FOOD - WESTERN,-38.00,141.10
2026-03-23 01:00,GRAB FOOD - MAMAK,-12.00,129.10
2026-03-23 12:30,GRAB FOOD - AYAM PENYET,-18.00,111.10
2026-03-23 23:30,SHOPEE PURCHASE,-95.00,16.10
2026-03-24 12:00,GRAB FOOD - LAKSA,-15.00,1.10
