date,description,amount,balance
2026-03-01,SALARY CREDIT,3200.00,3500.00
2026-03-01,SHOPEE PURCHASE,-450.00,3050.00
2026-03-02,GRAB FOOD - NASI LEMAK,-22.00,3028.00
2026-03-02,LAZADA PURCHASE,-380.00,2648.00
2026-03-03,AEON MALL SHOPPING,-520.00,2128.00
2026-03-03,GRAB FOOD - PIZZA,-45.00,2083.00
2026-03-04,STARBUCKS KLCC,-28.00,2055.00
2026-03-04,SHOPEE PURCHASE,-290.00,1765.00
2026-03-05,UNIFI BILL PAYMENT,-199.00,1566.00
2026-03-05,TNB ELECTRIC BILL,-180.00,1386.00
2026-03-06,MAXIS PHONE BILL,-128.00,1258.00
2026-03-06,GRAB FOOD - MCDONALD,-35.00,1223.00
2026-03-07,PETRONAS FUEL,-120.00,1103.00
2026-03-07,SHOPEE PURCHASE,-350.00,753.00
2026-03-08,NETFLIX SUBSCRIPTION,-54.90,698.10
2026-03-08,SPOTIFY SUBSCRIPTION,-15.90,682.20
2026-03-09,ASTRO BILL,-150.00,532.20
2026-03-09,GRAB FOOD - KFC,-28.00,504.20
2026-03-10,LAZADA PURCHASE,-199.00,305.20
2026-03-10,MR DIY PURCHASE,-85.00,220.20
2026-03-11,IKEA PURCHASE,-180.00,40.20
2026-03-11,GRAB FOOD - NASI GORENG,-18.00,22.20
2026-03-12,SHELL PETROL,-95.00,-72.80
2026-03-12,SHOPEE PURCHASE,-125.00,-197.80
2026-03-13,GRAB FOOD - WESTERN,-32.00,-229.80
2026-03-13,GUARDIAN PHARMACY,-67.00,-296.80
2026-03-14,FOODPANDA - BURGER KING,-42.00,-338.80
2026-03-14,7-ELEVEN PURCHASE,-25.00,-363.80
2026-03-15,SALARY CREDIT,3200.00,2836.20
2026-03-15,LOAN REPAYMENT,-800.00,2036.20
2026-03-16,CREDIT CARD PAYMENT,-600.00,1436.20
2026-03-16,SHOPEE PURCHASE,-420.00,1016.20
2026-03-17,GRAB FOOD - SUSHI,-55.00,961.20
2026-03-17,LAZADA PURCHASE,-310.00,651.20
2026-03-18,AEON MALL SHOPPING,-380.00,271.20
2026-03-18,STARBUCKS SUNWAY,-32.00,239.20
2026-03-19,WATSON PURCHASE,-78.00,161.20
2026-03-19,GRAB FOOD - NASI KANDAR,-16.00,145.20
2026-03-20,PETRONAS FUEL,-110.00,35.20
2026-03-20,SHOPEE PURCHASE,-180.00,-144.80
2026-03-21,GRAB FOOD - MEE GORENG,-14.00,-158.80
2026-03-21,LAZADA PURCHASE,-250.00,-408.80
2026-03-22,TNG TOLL PAYMENT,-45.00,-453.80
2026-03-22,GRAB FOOD - AYAM PENYET,-22.00,-475.80
2026-03-23,GSC CINEMA,-38.00,-513.80
2026-03-23,SHOPEE PURCHASE,-195.00,-708.80
2026-03-24,GRAB FOOD - LAKSA,-15.00,-723.80
2026-03-25,INSURANCE PREMIUM,-250.00,-973.80
2026-03-25,GRAB FOOD - ROTI CANAI,-12.00,-985.80
2026-03-26,SHOPEE PURCHASE,-330.00,-1315.80
2026-03-27,GRAB FOOD - CHAR KUEY TEOW,-18.00,-1333.80
2026-03-28,LAZADA PURCHASE,-275.00,-1608.80
2026-03-29,GRAB FOOD - CENDOL,-10.00,-1618.80
2026-03-30,SHOPEE PURCHASE,-155.00,-1773.80
2026-03-31,GRAB FOOD - ROJAK,-12.00,-1785.80
