date,description,amount,balance
2026-03-01,SALARY CREDIT,5500.00,6200.00
2026-03-02,TNG EWALLET TOPUP,-50.00,6150.00
2026-03-02,GRAB FOOD - NASI LEMAK EXTRA,-18.50,6131.50
2026-03-03,PETRONAS BANDAR UTAMA,-85.00,6046.50
2026-03-03,STARBUCKS SUNWAY,-22.00,6024.50
2026-03-04,SHOPEE PURCHASE,-129.90,5894.60
2026-03-04,GRAB FOOD - MCDONALD,-25.00,5869.60
2026-03-05,UNIFI BILL PAYMENT,-159.00,5710.60
2026-03-05,TNB ELECTRIC BILL,-120.00,5590.60
2026-03-06,GRAB FOOD - PIZZA HUT,-45.00,5545.60
2026-03-06,KFC DRIVE THRU,-28.50,5517.10
2026-03-07,AEON MALL SHOPPING,-250.00,5267.10
2026-03-07,GRAB FOOD - NASI KANDAR,-16.00,5251.10
2026-03-08,GSC CINEMA TICKET,-38.00,5213.10
2026-03-08,GRAB FOOD - BUBBLE TEA,-12.00,5201.10
2026-03-09,FOODPANDA - SUSHI KING,-42.00,5159.10
2026-03-10,MR DIY PURCHASE,-35.00,5124.10
2026-03-10,GRAB FOOD - NASI AYAM,-14.50,5109.60
2026-03-11,MAXIS PHONE BILL,-89.00,5020.60
2026-03-11,NETFLIX SUBSCRIPTION,-54.90,4965.70
2026-03-12,GRAB FOOD - DOMINO PIZZA,-55.00,4910.70
2026-03-12,SHELL PETROL,-92.00,4818.70
2026-03-13,LAZADA PURCHASE,-199.00,4619.70
2026-03-13,GRAB FOOD - MEE GORENG,-13.00,4606.70
2026-03-14,GUARDIAN PHARMACY,-67.00,4539.70
2026-03-14,GRAB FOOD - ROTI CANAI,-8.50,4531.20
2026-03-15,SALARY ADVANCE,2000.00,6531.20
2026-03-15,GRAB FOOD - KFC,-32.00,6499.20
2026-03-16,SHOPEE PURCHASE,-88.00,6411.20
2026-03-16,GRAB FOOD - NASI GORENG,-15.00,6396.20
2026-03-17,ASTRO BILL,-109.00,6287.20
2026-03-17,GRAB FOOD - WESTERN FOOD,-28.00,6259.20
2026-03-18,IKEA PURCHASE,-350.00,5909.20
2026-03-18,FOODPANDA - THAI FOOD,-38.00,5871.20
2026-03-19,GRAB FOOD - MAMAK FOOD,-12.00,5859.20
2026-03-19,WATSON PURCHASE,-45.00,5814.20
2026-03-20,TNG TOLL PAYMENT,-25.00,5789.20
2026-03-20,GRAB FOOD - CHICKEN RICE,-11.00,5778.20
2026-03-21,SPOTIFY SUBSCRIPTION,-15.90,5762.30
2026-03-21,GRAB FOOD - LAKSA,-14.00,5748.30
2026-03-22,SHOPEE PURCHASE,-220.00,5528.30
2026-03-22,GRAB FOOD - CHAR KUEY TEOW,-16.00,5512.30
2026-03-23,PETRONAS FUEL,-90.00,5422.30
2026-03-23,GRAB FOOD - NASI LEMAK,-12.50,5409.80
2026-03-24,7-ELEVEN PURCHASE,-18.00,5391.80
2026-03-24,GRAB FOOD - MEE REBUS,-13.00,5378.80
2026-03-25,GRAB FOOD - ROJAK,-10.00,5368.80
2026-03-25,DIGI PHONE TOPUP,-30.00,5338.80
2026-03-26,FOODPANDA - BURGER KING,-35.00,5303.80
2026-03-27,GRAB FOOD - SATAY,-15.00,5288.80
2026-03-28,SHOPEE PURCHASE,-175.00,5113.80
2026-03-28,GRAB FOOD - SOTO AYAM,-11.50,5102.30
2026-03-29,GRAB FOOD - CENDOL,-8.00,5094.30
2026-03-30,TNG PARKING,-6.00,5088.30
2026-03-30,GRAB FOOD - AYAM PENYET,-18.00,5070.30
2026-03-31,GRAB FOOD - ROTI JOHN,-12.00,5058.30
